age,theta,sd,n,definition,index,item_info
12,-1.919269718,0.631827097,141,mommy*,354,0.826839612
13,-1.667903588,0.658331802,768,ball,35,0.849036702
14,-1.560447057,0.6332105,126,ball,35,1.09507532
15,-1.182147377,0.845189775,118,ball,35,2.097551308
16,-0.869145367,0.687531696,1676,ball,35,2.333178999
17,-0.742111187,0.705858183,362,ball,35,2.139585104
18,-0.412200309,0.743195745,526,shoe,498,3.20995484
19,-0.161481811,0.736383072,328,ear,194,2.9540643
20,-0.060684365,0.737591621,274,ear,194,3.261743425
21,0.024501997,0.803711242,203,ear,194,3.369364302
22,0.309529791,0.76255004,200,chair,115,4.219786186
23,0.501775315,0.731359472,262,hand,261,5.018048012
24,0.652021678,0.836220168,583,arm,21,4.799376954
25,0.808437943,0.845937625,331,leg,326,5.844102118
26,0.952093154,0.753493929,181,table,562,6.26936087
27,1.003427993,0.78559095,195,table,562,6.132468937
28,1.369855995,0.762567531,797,find,206,6.269000877
29,1.208167616,0.817630621,198,find,206,6.363990912
30,1.473825121,0.680578716,295,find,207,
31,1.337694302,0.467866667,14,find,206,6.460874454
32,1.384777717,0.655659089,13,find,206,6.154599617
33,1.844903933,0.668705612,17,long,337,
34,1.712197824,0.58723406,10,long,338,4.764829179
35,1.855554415,0.436550111,13,long,337,5.043555867
36,2.109346996,0.536969008,2,long,337,4.303262286
