family_id;child_id;child_hash;test;language_id;parental_edu
96;523;cc1Yo353bssLL_C765iYe;1;7;NA
96;523;cc1Yo353bssLL_C765iYe;1;5;NA
96;523;cc1Yo353bssLL_C765iYe;1;107;NA
96;523;cc1Yo353bssLL_C765iYe;1;7;NA
96;523;cc1Yo353bssLL_C765iYe;1;5;NA
96;523;cc1Yo353bssLL_C765iYe;1;107;NA
96;533;K5DL-vRfNdAVz9edJg3se;1;7;NA
96;533;K5DL-vRfNdAVz9edJg3se;1;2;NA
96;533;K5DL-vRfNdAVz9edJg3se;1;7;NA
96;533;K5DL-vRfNdAVz9edJg3se;1;2;NA
171;582;9akyuaVM7bSSrE_d0VtmW;1;7;NA
171;582;9akyuaVM7bSSrE_d0VtmW;1;2;NA
240;651;jd0bKhUujkoy6xF0ddSNg;1;7;NA
240;651;jd0bKhUujkoy6xF0ddSNg;1;2;NA
242;652;Vc39st_tmF7p8KW7qBePM;;7;HIGHER_EDU
242;652;Vc39st_tmF7p8KW7qBePM;;2;HIGHER_EDU
243;653;#NAZWA?;;7;NA
244;654;4gJ7NB__UtAVmi_jaBZci;;7;NA
244;654;4gJ7NB__UtAVmi_jaBZci;;2;NA
246;655;lHDaVfRM7s2GbC-Vwp4Ry;;7;HIGHER_EDU
246;655;lHDaVfRM7s2GbC-Vwp4Ry;;2;HIGHER_EDU
246;655;lHDaVfRM7s2GbC-Vwp4Ry;;105;HIGHER_EDU
246;655;lHDaVfRM7s2GbC-Vwp4Ry;;130;HIGHER_EDU
247;656;w7zyiuji3dAJbh1Tn4MSY;;7;NA
247;656;w7zyiuji3dAJbh1Tn4MSY;;107;NA
250;657;Tx5SyTLs9WfDMhrHbJX__;;2;NA
250;657;Tx5SyTLs9WfDMhrHbJX__;;5;NA
252;658;f6j7r0Hw_ji2k9oFG5z7J;;7;NA
252;658;f6j7r0Hw_ji2k9oFG5z7J;;105;NA
252;658;f6j7r0Hw_ji2k9oFG5z7J;;3;NA
255;659;ECAJeutAT-mA1Y_KbOgbG;;7;NA
256;660;s6Tb7AJ_j7WKOrsz4cRuy;;7;NA
256;660;s6Tb7AJ_j7WKOrsz4cRuy;;2;NA
257;661;gwO5TG5z2NWW9Ua6oZJT0;;7;NA
257;661;gwO5TG5z2NWW9Ua6oZJT0;;2;NA
257;662;TTPc8IHY6KVRjkrgCfE_K;;7;HIGHER_EDU
257;662;TTPc8IHY6KVRjkrgCfE_K;;2;HIGHER_EDU
261;663;DxzZoB9uBHthxE66MRuiT;;192;UNFINISHED_HIGHER_EDU
261;663;DxzZoB9uBHthxE66MRuiT;;7;UNFINISHED_HIGHER_EDU
265;664;JeXVTcuESwRTXZ6QR6zDQ;;7;NA
265;664;JeXVTcuESwRTXZ6QR6zDQ;;2;NA
267;665;dXNcknm6sPOSWyOZ4YlnJ;;7;NA
267;665;dXNcknm6sPOSWyOZ4YlnJ;;2;NA
271;666;aVr-YpbbsF2fhVuNB9bfL;;8;NA
271;666;aVr-YpbbsF2fhVuNB9bfL;;7;NA
272;667;XC4KuuKRgZjbDn0ZtllGP;;2;NA
273;668;eORUGn36pCgJkQmUMuD0V;;7;NA
275;669;Psyl0nnuVBN9oHRMEFC2m;;7;NA
276;670;QXCqTPxLlnFMPuqQMQNag;;7;NA
277;671;8EC7fqiLaJp1AzZFP3ftV;;7;NA
279;672;gObnXHdqBZg8mgkP37Hdn;;7;NA
281;673;FXRwRknxGYZOSEKWH4E8c;;7;UNFINISHED_HIGHER_EDU
281;673;FXRwRknxGYZOSEKWH4E8c;;7;UNFINISHED_HIGHER_EDU
283;674;4t1_2oY9hNWUIPf69ZFzw;;2;NA
283;674;4t1_2oY9hNWUIPf69ZFzw;;7;NA
284;675;ZjYaSB9QwmGQQn9sA3kC5;;7;NA
286;676;MuglVt5GAbCHyHMwagvJu;;7;NA
289;677;D_Z9-y0M3f01kMvy3zHFc;;7;NA
289;677;D_Z9-y0M3f01kMvy3zHFc;;110;NA
292;678;Zd0HvdqDL5YCj1r9imsBR;;7;HIGHER_EDU
288;679;srO3RMBC8QtLcDnwF_SPk;;7;HIGHER_EDU
293;680;4RJrmCEQy_VRI1XjCfQS8;;7;NA
295;681;ZGHOOcBGWcR5NVQT9KC-I;;7;NA
299;683;esxLOpDlJ9ARQRIRktnpp;;7;NA
301;684;Zaz6RuAU6epcbcloUc5XV;;7;HIGHER_EDU
303;685;vAeX9TElpBG93IgzyM8LK;;7;HIGHER_EDU
304;686;CjGKxeB4tQgKjzv9vTAfW;;7;NA
304;686;CjGKxeB4tQgKjzv9vTAfW;;2;NA
305;687;gLslkB473B_IU6GgmnRnw;;7;NA
307;688;ZxExVZzl41pn3g7o0K4PA;;7;NA
309;689;iRREp4BOul0_936xO0BK1;;7;HIGHER_EDU
311;690;OHgNFY-686nAmUR8FOLBC;;7;NA
313;691;D0_h69nTk8yQR527iRgPg;;7;NA
314;692;H0LCrdURdoSx-3MohnPXu;;7;NA
314;692;H0LCrdURdoSx-3MohnPXu;;110;NA
318;693;JD3T7ulUaCJ7M_zjGNAlE;;7;NA
320;694;KpJzBBh7YHXM5QdzsuBku;;7;HIGHER_EDU
322;695;qT99zjhcUeBkYGggGBJob;;7;HIGHER_EDU
322;695;qT99zjhcUeBkYGggGBJob;;2;HIGHER_EDU
323;696;JINYRdGhkpHIh11-Vygz9;;7;HIGHER_EDU
325;697;nL-ZBs17V7e7riBb3jL4I;;7;NA
327;698;S-u6iXlFpENW_4fhM5mcm;;7;HIGHER_EDU
329;699;QWarEux73FbfE_kqFbtlM;;7;NA
331;700;6hreghIY7DviDpOqoU10Z;;7;HIGHER_EDU
332;701;m_9po5yFF8N5V4w1ZnQo7;;7;NA
334;702;zDmOy-HOJ32JUVQjCBUJC;;7;HIGHER_EDU
337;703;1hfeFbgftRw9nSOaYRwPe;;7;HIGHER_EDU
337;703;1hfeFbgftRw9nSOaYRwPe;;3;HIGHER_EDU
338;704;usFEO6W9KTmZlcZypDlFV;;7;NA
338;704;usFEO6W9KTmZlcZypDlFV;;114;NA
339;705;MkSUv16H8mN53tDdgv94V;;7;NA
341;706;XwuTGPpcE1eylfVI_e0yE;;7;HIGHER_EDU
342;707;g9iIdRA5iHnjrW6ZDh8Sh;;7;NA
342;707;g9iIdRA5iHnjrW6ZDh8Sh;;8;NA
343;708;5aE-iMm6HdNRn4PiTtaXW;;7;NA
345;709;d_9OiE2eqHuw-yeF5_Kms;;7;HIGHER_EDU
346;710;XLZy6dki2CXPAu2ljlOq6;;7;HIGHER_EDU
347;711;-87oVZDf9plM3z83QcWSx;;7;NA
347;712;TxMWuueh07s9tsINqi4jj;;7;NA
348;713;qhH5KvWn4FoF0xHgrgaFz;;7;NA
349;714;wCzPbnbxFcCaEytUPWKXF;;7;SECONDARY
351;715;nXN25gqORcUVOPsrUtZm9;;7;NA
351;715;nXN25gqORcUVOPsrUtZm9;;2;NA
353;716;rZwDlA47IScI3z67Bv-eV;;7;NA
354;717;1hM3AuDFqIRgYLX53uOy3;;7;SECONDARY
357;718;CnMPS5oLXB6X2LgjCygAH;;7;NA
358;719;ZTn1blUZ-ll11HvdplJ1j;;7;NA
360;720;H0ab04tfNXz85fxvJuZ1Q;;7;HIGHER_EDU
361;721;HgXaGwTN325ZNTmk0UYag;;7;NA
362;722;z0gq1hVjVN-0hXAIr7Tge;;7;NA
363;723;YGEJ2cz7c7LAGkmXnb_xB;;7;NA
364;724;QIyvgG4ucqwcdnSB_9NS-;;7;NA
365;725;K8MDNSJUrqiTvulFS5cyi;;7;NA
366;726;P3z6jC26xiCCgxraDBW1k;;7;NA
366;726;P3z6jC26xiCCgxraDBW1k;;3;NA
367;727;ODNnKSQ3gwsfEdXkOFNi7;;7;NA
368;728;kE6O_rflHK_ZGbk0mjA8q;;7;NA
368;729;47KROk2hzCpQY1oEnC1lP;;7;NA
368;729;47KROk2hzCpQY1oEnC1lP;;3;NA
370;730;fdODingx2WZWz9kjTfGOR;;7;HIGHER_EDU
371;731;Xbs7JFxRfQAyKsGman501;;7;UNFINISHED_HIGHER_EDU
373;732;BMfbgdwBq8Gv90j7Sbz_I;;7;NA
373;733;ioepn-K1GyJaQBjDetIga;;7;NA
374;734;fzDVlOfyPTmqi5DVL4jkC;;7;NA
375;735;T0HNUqCeqzPHjr9Y9Qyck;;7;NA
375;735;T0HNUqCeqzPHjr9Y9Qyck;;110;NA
377;736;Xvy8Yf843xecZfCiVJFAC;;7;NA
379;737;3Ge__ORWm8gQqQSYfaEfD;;7;NA
379;738;k5Ba3f17Te9SLOo8R-tVM;;7;HIGHER_EDU
382;739;Srp-Yds-VBtj0PZWdN8gi;;7;NA
383;740;6yEzu9KdcF3Yk25u64Kv6;;7;NA
385;741;YuUdWtqr7cgP3rIqjCRNa;;7;HIGHER_EDU
384;742;PCSJtodNjC6LEurziQSCv;;7;HIGHER_EDU
387;743;gUWjEcrOv9M-O0IwfhuSX;;7;NA
389;744;F7irACcN88LnHhXjTXkEl;;7;HIGHER_EDU
389;744;F7irACcN88LnHhXjTXkEl;;7;HIGHER_EDU
389;744;F7irACcN88LnHhXjTXkEl;;7;HIGHER_EDU
390;745;x6tob6irmonQIkFUmjppP;;7;HIGHER_EDU
391;746;50cDcCgDViCkbRQ-OQlEa;;7;NA
391;746;50cDcCgDViCkbRQ-OQlEa;;108;NA
391;746;50cDcCgDViCkbRQ-OQlEa;;2;NA
394;747;J7T1Z4eUK5Aa_FfJ2qpmo;;7;HIGHER_EDU
394;747;J7T1Z4eUK5Aa_FfJ2qpmo;;110;HIGHER_EDU
394;747;J7T1Z4eUK5Aa_FfJ2qpmo;;2;HIGHER_EDU
396;748;TUfXo0RR_DdRj6ZkJF7PU;;7;NA
398;749;0L3nWnFha1TBbZAeXVKcm;;7;NA
398;749;0L3nWnFha1TBbZAeXVKcm;;7;NA
399;750;pPSKsu2oAEW-4uoe__HT3;;7;NA
399;750;pPSKsu2oAEW-4uoe__HT3;;2;NA
400;751;_LwhzlNt7ObpdAMg7jQwA;;7;HIGHER_EDU
403;752;dgE-UrIsOrSgwgX6vN3EA;;7;HIGHER_EDU
403;752;dgE-UrIsOrSgwgX6vN3EA;;183;HIGHER_EDU
403;752;dgE-UrIsOrSgwgX6vN3EA;;2;HIGHER_EDU
403;752;dgE-UrIsOrSgwgX6vN3EA;;110;HIGHER_EDU
405;753;o5V0SnPEaJfhCZn8v4KbZ;;7;NA
405;753;o5V0SnPEaJfhCZn8v4KbZ;;106;NA
405;753;o5V0SnPEaJfhCZn8v4KbZ;;6;NA
407;754;pqwbD_18iAJYMYLc0OMec;;7;NA
407;754;pqwbD_18iAJYMYLc0OMec;;113;NA
407;754;pqwbD_18iAJYMYLc0OMec;;3;NA
408;755;hex6MqrVn6ICRUyIVbRZJ;;7;NA
408;755;hex6MqrVn6ICRUyIVbRZJ;;114;NA
409;756;13xOcZ5l_h-Z8gSU6Oeyu;;7;NA
411;757;y0m6VfNSvv8SjtVYwEHMX;;7;HIGHER_EDU
412;758;4_5EC6TT8_B8XCk-p9a7S;;7;NA
413;759;32j0uvpzWM1sA5O8uMKL_;;7;NA
413;759;32j0uvpzWM1sA5O8uMKL_;;110;NA
415;760;h9xLDp2arxVPCKbVsW35p;;7;NA
417;761;f50BhYmRjNyGhnDLWWPqt;;110;HIGHER_EDU
417;761;f50BhYmRjNyGhnDLWWPqt;;2;HIGHER_EDU
419;762;A5hgQqNOplgZIrOg1M9rA;;7;PHD
420;763;EPL2LvPzZbrGBtKooSl_h;;7;UNFINISHED_HIGHER_EDU
420;763;EPL2LvPzZbrGBtKooSl_h;;105;UNFINISHED_HIGHER_EDU
401;764;XHq5YCnUPJW24WH1FtxHo;;7;NA
425;765;brw75l7jvQ-GBNmYgokKB;;7;NA
425;765;brw75l7jvQ-GBNmYgokKB;;108;NA
425;765;brw75l7jvQ-GBNmYgokKB;;6;NA
269;766;PsDjuxSr56I27OS-20Wpi;;2;NA
269;766;PsDjuxSr56I27OS-20Wpi;;7;NA
424;767;yBpsakbNS3xBM1ySg1xCR;;7;NA
424;767;yBpsakbNS3xBM1ySg1xCR;;2;NA
427;768;3svs8Z36gSgOlCLngPQDI;;7;HIGHER_EDU
427;768;3svs8Z36gSgOlCLngPQDI;;120;HIGHER_EDU
427;768;3svs8Z36gSgOlCLngPQDI;;7;HIGHER_EDU
427;768;3svs8Z36gSgOlCLngPQDI;;120;HIGHER_EDU
427;768;3svs8Z36gSgOlCLngPQDI;;7;HIGHER_EDU
427;768;3svs8Z36gSgOlCLngPQDI;;120;HIGHER_EDU
428;769;aPs6nqKHSs0OV7LCm_Alh;;7;HIGHER_EDU
428;769;aPs6nqKHSs0OV7LCm_Alh;;6;HIGHER_EDU
430;770;cTUqrCPhNGgB45vpMWV6p;;110;HIGHER_EDU
430;770;cTUqrCPhNGgB45vpMWV6p;;7;HIGHER_EDU
430;770;cTUqrCPhNGgB45vpMWV6p;;113;HIGHER_EDU
432;771;7NFppKRQ2P85Ohh3jazSX;;7;NA
432;771;7NFppKRQ2P85Ohh3jazSX;;111;NA
432;771;7NFppKRQ2P85Ohh3jazSX;;109;NA
431;772;BuZ0O0mhoI-NeW4GQrydV;;7;HIGHER_EDU
431;772;BuZ0O0mhoI-NeW4GQrydV;;110;HIGHER_EDU
433;773;Bfj4hi3-Bydt-EOCS0_Up;;7;HIGHER_EDU
433;773;Bfj4hi3-Bydt-EOCS0_Up;;2;HIGHER_EDU
435;774;VLHimR_FhOnaGanJTE9Zj;;7;NA
435;774;VLHimR_FhOnaGanJTE9Zj;;4;NA
437;775;fASxbCei5fS5zwjtGcQrl;;7;NA
437;775;fASxbCei5fS5zwjtGcQrl;;105;NA
437;775;fASxbCei5fS5zwjtGcQrl;;110;NA
439;776;Mj_n7aO3O2rC_XP8YUp-e;;6;HIGHER_EDU
439;776;Mj_n7aO3O2rC_XP8YUp-e;;7;HIGHER_EDU
439;776;Mj_n7aO3O2rC_XP8YUp-e;;110;HIGHER_EDU
441;777;wvgmdiZ9W-AkZcaLM3n1A;;7;PHD
443;778;442Hfz6NsOs8nunEX-2Re;;8;HIGHER_EDU
443;778;442Hfz6NsOs8nunEX-2Re;;7;HIGHER_EDU
445;779;03-kLORdLO-AJEGpctHB-;;7;NA
451;780;a88PBICQQlEmV-_CNhWqU;;7;HIGHER_EDU
451;780;a88PBICQQlEmV-_CNhWqU;;110;HIGHER_EDU
451;780;a88PBICQQlEmV-_CNhWqU;;6;HIGHER_EDU
454;781;aKQsuxt5T-rlnGDoO2ysw;;7;HIGHER_EDU
456;782;Icu4JAP-4ppHPjbGDdLnF;;2;HIGHER_EDU
456;782;Icu4JAP-4ppHPjbGDdLnF;;7;HIGHER_EDU
457;783;vTVA6K8XU22CofwwqHsxN;;110;NA
457;783;vTVA6K8XU22CofwwqHsxN;;7;NA
457;783;vTVA6K8XU22CofwwqHsxN;;108;NA
459;784;TFxne8ifgzqrh1pyIdAvM;;2;NA
461;785;sycDg-gbQcpZw6UM_LJB-;;120;HIGHER_EDU
461;785;sycDg-gbQcpZw6UM_LJB-;;7;HIGHER_EDU
461;785;sycDg-gbQcpZw6UM_LJB-;;3;HIGHER_EDU
462;786;6tV6nW4Xqzp71tebyVuEb;;7;NA
462;786;6tV6nW4Xqzp71tebyVuEb;;2;NA
462;786;6tV6nW4Xqzp71tebyVuEb;;108;NA
464;787;5B4HF4BXkCcuK1N6YLB7X;;7;NA
465;788;PvlE74TKDAAx18uP4eGVK;;7;NA
465;788;PvlE74TKDAAx18uP4eGVK;;129;NA
466;789;0IAxeyjM4vB2DDn3y-p7m;;7;HIGHER_EDU
466;789;0IAxeyjM4vB2DDn3y-p7m;;2;HIGHER_EDU
447;790;1O6fLHOqsj3oI0-Pxj0Lc;;7;NA
447;790;1O6fLHOqsj3oI0-Pxj0Lc;;2;NA
467;791;sbOUvjF4NcFcvOoMNvpWs;;7;NA
468;792;8x45Y5o-PXhWW3WSLaOo2;;7;HIGHER_EDU
469;793;yWW1eto0Ny7l8cAkSDvPQ;;120;HIGHER_EDU
469;793;yWW1eto0Ny7l8cAkSDvPQ;;7;HIGHER_EDU
470;794;b7OKFYYZNEVm7dFlapN7S;;7;HIGHER_EDU
473;795;PekrF4Vw2mvd-pJCIKq3k;;7;SECONDARY
473;795;PekrF4Vw2mvd-pJCIKq3k;;109;SECONDARY
475;796;eZ34S9C2LCk-qVYUx75sr;;6;NA
475;796;eZ34S9C2LCk-qVYUx75sr;;3;NA
259;797;XP0Q3OP0L9PDS7_KbGIcv;;2;NA
259;797;XP0Q3OP0L9PDS7_KbGIcv;;7;NA
259;797;XP0Q3OP0L9PDS7_KbGIcv;;8;NA
478;798;lSTu_mH8KkC7X8MEyyzI0;;7;HIGHER_EDU
479;799;kIrsf-4Bq-i4cm7th-nuw;;7;SECONDARY
479;799;kIrsf-4Bq-i4cm7th-nuw;;2;SECONDARY
481;800;kA7QChWowXr6cZMvrOlWT;;7;HIGHER_EDU
482;801;q3OhNI_8w8xwPgU9QZ_Wz;;7;NA
482;801;q3OhNI_8w8xwPgU9QZ_Wz;;3;NA
484;802;kYk-qyf-nEODGWTTbomO_;;7;HIGHER_EDU
484;802;kYk-qyf-nEODGWTTbomO_;;120;HIGHER_EDU
484;802;kYk-qyf-nEODGWTTbomO_;;6;HIGHER_EDU
484;802;kYk-qyf-nEODGWTTbomO_;;110;HIGHER_EDU
484;802;kYk-qyf-nEODGWTTbomO_;;7;HIGHER_EDU
484;802;kYk-qyf-nEODGWTTbomO_;;120;HIGHER_EDU
484;802;kYk-qyf-nEODGWTTbomO_;;6;HIGHER_EDU
484;802;kYk-qyf-nEODGWTTbomO_;;110;HIGHER_EDU
485;803;oi-Avvjrcof2kzl472P8m;;7;HIGHER_EDU
487;804;lnP5pioH30gmQ9Y_0enju;;2;NA
487;804;lnP5pioH30gmQ9Y_0enju;;7;NA
488;805;eqayYoojcbqOC-zNCSmvb;;7;NA
488;805;eqayYoojcbqOC-zNCSmvb;;111;NA
488;806;133zsAMAh2xgk_LZepvPH;;7;NA
488;806;133zsAMAh2xgk_LZepvPH;;111;NA
491;808;bVgzTLf4J9fliNFU-24_D;;7;NA
491;808;bVgzTLf4J9fliNFU-24_D;;3;NA
495;809;84-86HK6ZaUao9VMArNio;;7;NA
495;809;84-86HK6ZaUao9VMArNio;;6;NA
497;810;Dz0PDcrMlbFHbRuQStTpU;;7;NA
497;810;Dz0PDcrMlbFHbRuQStTpU;;2;NA
497;810;Dz0PDcrMlbFHbRuQStTpU;;105;NA
497;810;Dz0PDcrMlbFHbRuQStTpU;;8;NA
496;811;vQx-VuGTXWXtplXHv8ojz;;2;HIGHER_EDU
496;811;vQx-VuGTXWXtplXHv8ojz;;7;HIGHER_EDU
498;812;N1Y6zkV2VEMXkv_IlpKwd;;7;HIGHER_EDU
500;813;Dpg8Etn2uvS6Osb_6kVHG;;7;NA
502;814;BI7_b0_qYFWeHDsQT6Kfq;;7;HIGHER_EDU
502;814;BI7_b0_qYFWeHDsQT6Kfq;;106;HIGHER_EDU
502;814;BI7_b0_qYFWeHDsQT6Kfq;;6;HIGHER_EDU
493;815;ogThciSxRie6uT7UWMDCD;;7;NA
493;815;ogThciSxRie6uT7UWMDCD;;110;NA
503;816;i0V_QOAu3nfYB6BKTZXE9;1;7;NA
504;817;sCtOZN_ix6jEae-9IuAnJ;;7;NA
504;817;sCtOZN_ix6jEae-9IuAnJ;;110;NA
504;818;sC4sXg7CeNHoAfO01AGG_;;7;HIGHER_EDU
504;818;sC4sXg7CeNHoAfO01AGG_;;110;HIGHER_EDU
476;819;vWyYsKn0nJX8VZB4A8oPm;;7;NA
476;819;vWyYsKn0nJX8VZB4A8oPm;;120;NA
476;819;vWyYsKn0nJX8VZB4A8oPm;;6;NA
505;820;zvwuVJ9ppfLwy4VH-CSLF;;111;HIGHER_EDU
505;820;zvwuVJ9ppfLwy4VH-CSLF;;7;HIGHER_EDU
508;822;nXdc-0mV_yVdQ9ErSa5K0;;7;NA
508;822;nXdc-0mV_yVdQ9ErSa5K0;;128;NA
510;823;4xpBeeASfYXtjw0BLkoIz;;3;HIGHER_EDU
510;823;4xpBeeASfYXtjw0BLkoIz;;7;HIGHER_EDU
510;823;4xpBeeASfYXtjw0BLkoIz;;3;HIGHER_EDU
510;823;4xpBeeASfYXtjw0BLkoIz;;7;HIGHER_EDU
510;823;4xpBeeASfYXtjw0BLkoIz;;3;HIGHER_EDU
510;823;4xpBeeASfYXtjw0BLkoIz;;7;HIGHER_EDU
514;824;Hk9THqoNp2VzWaqHJCWI9;;7;HIGHER_EDU
514;824;Hk9THqoNp2VzWaqHJCWI9;;2;HIGHER_EDU
516;825;xiYuBs4FG2KtkUoOE04-t;;7;NA
516;825;xiYuBs4FG2KtkUoOE04-t;;110;NA
512;827;aBHdycK90KlShOdJdGfR0;;7;NA
512;827;aBHdycK90KlShOdJdGfR0;;6;NA
521;828;3tvyjI09KyK4kHtxIkW5i;;7;NA
521;828;3tvyjI09KyK4kHtxIkW5i;;109;NA
523;829;7Q-vmTDVMxTTRicgSaa_b;;7;SECONDARY
523;829;7Q-vmTDVMxTTRicgSaa_b;;114;SECONDARY
521;830;slp8NgUurVTHL_Anpxtqv;;7;NA
521;830;slp8NgUurVTHL_Anpxtqv;;109;NA
525;831;I6PEmUU41LikyU4bsfupu;;109;HIGHER_EDU
525;831;I6PEmUU41LikyU4bsfupu;;7;HIGHER_EDU
525;831;I6PEmUU41LikyU4bsfupu;;6;HIGHER_EDU
527;832;28-N2GO6Gigp3G7mWWjK5;;7;HIGHER_EDU
526;833;Op7kASaZ5CFdw0RyNVuxk;;7;NA
531;834;I3Z0Lqasc5s89UDCkQqUd;;7;HIGHER_EDU
531;834;I3Z0Lqasc5s89UDCkQqUd;;8;HIGHER_EDU
529;835;2tHbbAJkPAfQl-UrXAERd;;7;NA
529;835;2tHbbAJkPAfQl-UrXAERd;;6;NA
529;835;2tHbbAJkPAfQl-UrXAERd;;131;NA
526;836;Ay-IzuhPPWavuAkkUy2mw;;7;NA
533;837;Aw8oXC_cW7V5mYBtEKl1M;;7;NA
533;837;Aw8oXC_cW7V5mYBtEKl1M;;2;NA
248;838;4mfbhqgcL9JqUJN-fweth;1;7;NA
248;838;4mfbhqgcL9JqUJN-fweth;1;2;NA
529;839;6swg6igyOofauImwDObjt;;7;HIGHER_EDU
529;839;6swg6igyOofauImwDObjt;;6;HIGHER_EDU
529;839;6swg6igyOofauImwDObjt;;131;HIGHER_EDU
535;840;4ADWicS5-u8hNcROhb6t1;;2;SECONDARY
536;841;qsx8HaamqVwT-mUjk2Spo;;7;HIGHER_EDU
