"idx";"gender";"birth";"test";"start_theta";"filler";"lang";"group";"q_id";"items";"answers";"comment";"theta";"se_theta";"final";"start_date";"end_date"
Ae_8iEcFrLZEzbhkgyx_R;dziewczynka;"2020-07-12";;-2.71413;dziadek;pl;mowa;1;pa, pa! ;0;;-1.31438;0.886263;0;"2022-03-29 13:24:52";"2022-03-29 13:25:53"
Ae_8iEcFrLZEzbhkgyx_R;dziewczynka;"2020-07-12";;-2.71413;dziadek;pl;mowa;2;oko;0;;-1.60168;0.631499;0;"2022-03-29 13:24:52";"2022-03-29 13:25:53"
Ae_8iEcFrLZEzbhkgyx_R;dziewczynka;"2020-07-12";;-2.71413;dziadek;pl;mowa;3;auto/samochód;0;;-1.86489;0.552003;0;"2022-03-29 13:24:52";"2022-03-29 13:25:53"
Ae_8iEcFrLZEzbhkgyx_R;dziewczynka;"2020-07-12";;-2.71413;dziadek;pl;mowa;4;babcia;0;;-2.12659;0.511017;0;"2022-03-29 13:24:52";"2022-03-29 13:25:53"
Ae_8iEcFrLZEzbhkgyx_R;dziewczynka;"2020-07-12";;-2.71413;dziadek;pl;mowa;5;tak;1;;-2.31633;0.592723;0;"2022-03-29 13:24:52";"2022-03-29 13:25:53"
Ae_8iEcFrLZEzbhkgyx_R;dziewczynka;"2020-07-12";;-2.71413;dziadek;pl;mowa;6;nie;0;;-2.535;0.608829;0;"2022-03-29 13:24:52";"2022-03-29 13:25:53"
Ae_8iEcFrLZEzbhkgyx_R;dziewczynka;"2020-07-12";;-2.71413;dziadek;pl;mowa;7;tata/tatuś;1;;-2.3343;0.506272;0;"2022-03-29 13:24:52";"2022-03-29 13:25:53"
Ae_8iEcFrLZEzbhkgyx_R;dziewczynka;"2020-07-12";;-2.71413;dziadek;pl;mowa;8;tu;0;;-2.39394;0.490526;0;"2022-03-29 13:24:52";"2022-03-29 13:25:53"
Ae_8iEcFrLZEzbhkgyx_R;dziewczynka;"2020-07-12";;-2.71413;dziadek;pl;mowa;9;miau;0;;-2.51054;0.494825;0;"2022-03-29 13:24:52";"2022-03-29 13:25:53"
Ae_8iEcFrLZEzbhkgyx_R;dziewczynka;"2020-07-12";;-2.71413;dziadek;pl;mowa;10;hau hau;0;;-2.62994;0.499379;0;"2022-03-29 13:24:52";"2022-03-29 13:25:53"
