"";"child_id";"db_dob";"mobile_dob";"pabiq_dob_1";"pabiq_dob_2";"pabiq_dob_3";"pabiq_dob_4";"pabiq_dob_5";"pabiq_dob_6";"pabiq_dob_7";"pabiq_dob_8";"pabiq_dob_9";"pabiq_dob_10";"cdi_dob_1";"cdi_dob_2";"dob";"created_at";"updated_at";"age_at_study_entry"
"1";"10";2018-07-15;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2018-07-15;NA;NA;NA
"2";"1000";2020-09-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-09-03;2021-08-03 09:10:16;2021-08-03 09:10:16;11
"3";"1001";2020-12-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-12-03;2021-08-03 09:24:59;2021-08-03 09:24:59;8
"4";"1002";2020-08-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-08-03;2021-08-03 09:26:29;2021-08-03 09:26:29;12
"5";"1003";2019-08-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2019-08-03;2021-08-03 09:26:33;2021-08-03 09:42:55;24
"6";"1004";2021-04-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-04-03;2021-08-03 09:27:14;2021-08-03 09:27:21;4
"7";"1005";2020-05-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-05-03;2021-08-03 09:27:38;2021-08-03 09:27:52;15
"8";"1006";2019-11-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2019-11-03;2021-08-03 09:29:18;2021-08-03 09:29:18;21
"9";"1007";2020-11-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-11-03;2021-08-03 09:29:38;2021-08-03 09:29:38;9
"10";"1008";2020-11-16;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-11-16;2021-08-03 09:29:58;2022-02-16 00:27:06;8
"11";"1009";2020-01-03;NA;2019-12-30;NA;NA;NA;NA;NA;NA;NA;NA;NA;2019-12-30;NA;2019-12-30;2021-08-03 09:30:14;2021-08-03 09:30:14;19
"12";"1010";2020-04-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-04-03;2021-08-03 09:30:31;2021-08-03 09:30:31;16
"13";"1011";2020-02-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-02-03;2021-08-03 09:31:12;2021-08-03 09:31:37;18
"14";"1012";2021-07-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-07-03;2021-08-03 09:31:19;2021-08-03 09:31:19;1
"15";"1013";2020-04-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-04-03;2021-08-03 09:31:27;2021-08-03 09:31:38;16
"16";"1014";2020-09-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-09-03;2021-08-03 09:31:33;2021-10-03 16:01:59;11
"17";"1015";2020-09-03;NA;2020-09-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-09-03;NA;2020-09-03;2021-08-03 09:31:48;2021-08-03 09:49:00;11
"18";"1016";2020-02-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-02-03;2021-08-03 09:32:11;2021-08-03 09:32:20;18
"19";"1017";2021-05-03;2021-05-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-05-02;NA;2021-05-03;2021-08-03 09:32:38;2021-08-03 09:32:38;3
"20";"1018";2020-09-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-09-03;2021-08-03 09:33:27;2021-08-03 09:33:27;11
"21";"1019";2020-12-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-12-03;2021-08-03 09:33:39;2021-11-03 12:58:36;8
"22";"1020";2020-02-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-02-03;2021-08-03 09:34:30;2021-08-03 09:34:30;18
"23";"1021";2020-12-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-12-03;2021-08-03 09:35:18;2021-08-03 09:36:06;8
"24";"1022";2019-08-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2019-08-03;2021-08-03 09:35:58;2021-08-03 09:36:09;24
"25";"1023";2021-03-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-03-03;2021-08-03 09:36:52;2021-08-03 09:36:52;5
"26";"1024";2020-03-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-03-03;2021-08-03 09:38:09;2021-08-03 09:38:09;17
"27";"1025";2021-02-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-02-03;2021-08-03 09:38:40;2021-08-03 09:38:40;6
"28";"1026";2019-10-07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2019-10-07;2021-08-03 09:38:57;2021-08-07 15:11:57;21
"29";"1027";2021-01-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-01-03;2021-08-03 09:39:00;2021-08-03 09:39:00;7
"30";"1028";2020-11-03;NA;2020-11-11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-11-03;2021-08-03 09:39:07;2021-08-03 09:39:07;9
"31";"1029";2020-08-09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-08-09;2021-08-03 09:40:17;2021-08-09 17:09:02;11
"32";"1030";2020-04-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-04-03;2021-08-03 09:43:50;2021-08-03 09:43:50;16
"33";"1031";2019-09-03;NA;2019-09-04;NA;NA;NA;NA;NA;NA;NA;NA;NA;2019-08-04;NA;2019-08-04;2021-08-03 09:43:55;2021-08-03 09:44:07;23
"34";"1032";2019-09-03;NA;2019-08-27;NA;NA;NA;NA;NA;NA;NA;NA;NA;2019-08-27;NA;2019-08-27;2021-08-03 09:44:02;2021-08-03 09:44:02;23
"35";"1035";2020-09-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-09-03;2021-08-03 09:46:30;2021-08-03 09:46:30;11
"36";"1036";2020-06-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-06-03;2021-08-03 09:47:53;2021-08-03 09:48:07;14
"37";"1037";2019-10-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2019-10-03;2021-08-03 09:49:06;2021-08-03 09:49:20;22
"38";"1038";2020-07-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-07-03;2021-08-03 09:49:27;2021-08-03 09:49:27;13
"39";"1039";2019-08-03;NA;2019-08-13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2019-08-03;2021-08-03 09:51:03;2021-08-03 09:51:03;24
"40";"1040";2021-06-03;NA;2021-05-22;2021-05-22;NA;NA;NA;NA;NA;NA;NA;NA;2021-05-22;NA;2021-05-22;2021-08-03 09:51:38;2022-12-10 12:31:40;2
"41";"1041";2020-06-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-06-03;2021-08-03 09:51:39;2021-08-03 09:51:39;14
"42";"1042";2020-09-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-09-03;2021-08-03 09:51:52;2021-08-03 09:51:52;11
"43";"1043";2020-11-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-11-03;2021-08-03 09:52:34;2021-08-03 09:52:34;9
"44";"1044";2021-07-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-07-03;2021-08-03 09:53:05;2021-08-03 09:53:05;1
"45";"1045";2020-05-27;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-05-27;2021-08-03 09:53:27;2021-09-27 21:53:27;14
"46";"1046";2019-09-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2019-09-03;2021-08-03 09:54:28;2021-08-03 09:54:48;23
"47";"1047";2020-09-14;2020-09-05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-09-05;2021-08-03 09:54:32;2021-08-14 16:11:48;10
"48";"1048";2020-03-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-03-03;2021-08-03 09:55:36;2021-08-03 09:55:36;17
"49";"1049";2021-03-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-03-03;2021-08-03 09:59:29;2021-08-03 09:59:29;5
"50";"1050";2020-01-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-01-03;2021-08-03 10:00:37;2021-08-03 10:00:52;19
"51";"1051";2020-04-05;NA;2020-04-02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-04-02;2021-08-03 10:00:53;2021-11-05 13:40:59;16
"52";"1052";2021-03-03;NA;2021-03-08;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-03-08;NA;2021-03-08;2021-08-03 10:02:09;2021-08-03 10:02:09;4
"53";"1053";2019-04-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2019-04-03;2021-08-03 10:02:40;2021-08-03 10:02:40;28
"54";"1054";2020-05-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-05-03;2021-08-03 10:03:02;2021-08-03 10:03:02;15
"55";"1055";2020-05-03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2020-05-03;2021-08-03 10:05:12;2021-08-03 10:05:12;15
