itemID,type,category,definition,uni_lemma
item_1,word,sounds,gę gę,honk (goose)
item_2,word,sounds,hau hau,woof woof
item_3,word,sounds,ko ko ko,cluck
item_4,word,sounds,kwa kwa,quack quack
item_5,word,sounds,miau,meow
item_6,word,sounds,mee/bee,baa baa
item_7,word,sounds,muu [krowa],moo
item_8,word,sounds,pi pi pi/ćwir ćwir,tweet tweet
item_9,word,sounds,bam/bum/bęc,boom
item_10,word,sounds,brrum brrum [auto],vroom
item_11,word,sounds,tik tak,tick tock
item_12,word,sounds,tralala/lalala,NA
item_13,word,animals,baran,sheep
item_14,word,animals,biedronka,ladybug
item_15,word,animals,bocian,stork
item_16,word,animals,foka,seal
item_17,word,animals,gęś,goose
item_18,word,animals,gołąb,pigeon
item_19,word,animals,jeż,hedgehog
item_20,word,animals,kaczka,duck
item_21,word,animals,kogut,rooster
item_22,word,animals,koń,horse
item_23,word,animals,kot,cat
item_24,word,animals,koza,goat
item_25,word,animals,krowa,cow
item_26,word,animals,królik,rabbit
item_27,word,animals,kura,hen
item_28,word,animals,kurczątko,chick
item_29,word,animals,lew,lion
item_30,word,animals,lis,fox
item_31,word,animals,małpa,monkey
item_32,word,animals,miś/niedźwiedź,bear
item_33,word,animals,motylek,butterfly
item_34,word,animals,mrówka,ant
item_35,word,animals,mucha,fly (animal)
item_36,word,animals,myszka,mouse
item_37,word,animals,pająk,spider
item_38,word,animals,pies,dog
item_39,word,animals,pingwin,penguin
item_40,word,animals,ptaszek,bird
item_41,word,animals,robak,bug
item_42,word,animals,ryba_animals,fish (animal)
item_43,word,animals,słoń,elephant
item_44,word,animals,sowa,owl
item_45,word,animals,ślimak,snail
item_46,word,animals,świnka,pig
item_47,word,animals,tygrys,tiger
item_48,word,animals,wąż,snake
item_49,word,animals,wiewiórka,squirrel
item_50,word,animals,wilk,wolf
item_51,word,animals,zając,hare
item_52,word,animals,zwierzątko,animal
item_53,word,animals,żaba,frog
item_54,word,animals,żółw,turtle
item_55,word,animals,żyrafa,giraffe
item_56,word,vehicles,auto/samochód,car
item_57,word,vehicles,autobus,bus
item_58,word,vehicles,ciężarówka,truck
item_59,word,vehicles,helikopter,helicopter
item_60,word,vehicles,koparka,digger
item_61,word,vehicles,lokomotywa,locomotive
item_62,word,vehicles,motor/motocykl,motorcycle
item_63,word,vehicles,pociąg,train
item_64,word,vehicles,pogotowie/karetka,ambulance
item_65,word,vehicles,rower,bicycle
item_66,word,vehicles,samolot,airplane
item_67,word,vehicles,statek,ship
item_68,word,vehicles,traktor,tractor
item_69,word,vehicles,tramwaj,tram
item_70,word,food_drink,banan,banana
item_71,word,food_drink,barszcz,borsch
item_72,word,food_drink,batonik,candy
item_73,word,food_drink,budyń,pudding
item_74,word,food_drink,bułka,bun
item_75,word,food_drink,buraczki,beet
item_76,word,food_drink,cebula,onion
item_77,word,food_drink,chleb,bread
item_78,word,food_drink,chrupki,chips
item_79,word,food_drink,ciasto,cake
item_80,word,food_drink,ciastko,cookie
item_81,word,food_drink,cukier,sugar
item_82,word,food_drink,cukierek,candy
item_83,word,food_drink,czekolada,chocolate
item_84,word,food_drink,dżem,jam
item_85,word,food_drink,galaretka,jelly
item_86,word,food_drink,groszek,peas
item_87,word,food_drink,grzyby,mushroom
item_88,word,food_drink,guma do żucia,chewing gum
item_89,word,food_drink,herbata,tea
item_90,word,food_drink,jabłko,apple
item_91,word,food_drink,jajko,egg
item_92,word,food_drink,jedzenie/papu/am,food
item_93,word,food_drink,jogurt,yogurt
item_94,word,food_drink,kakao,cocoa
item_95,word,food_drink,kanapka/kromka,sandwich
item_96,word,food_drink,kapusta,cabbage
item_97,word,food_drink,kaszka,porridge
item_98,word,food_drink,kawa,coffee
item_99,word,food_drink,ketchup,ketchup
item_100,word,food_drink,kiełbasa,sausage
item_101,word,food_drink,kotlet,cutlet
item_102,word,food_drink,kurczak,chicken (food)
item_103,word,food_drink,lizak,lollipop
item_104,word,food_drink,lody,ice cream
item_105,word,food_drink,makaron/kluski,pasta
item_106,word,food_drink,mandarynka,tangerine
item_107,word,food_drink,marchewka,carrot
item_108,word,food_drink,masło/margaryna,butter
item_109,word,food_drink,mięso,meat
item_110,word,food_drink,miód,honey
item_111,word,food_drink,mleko,milk
item_112,word,food_drink,naleśniki,pancake
item_113,word,food_drink,orzechy,nut
item_114,word,food_drink,ogórek,cucumber
item_115,word,food_drink,paluszki,snack
item_116,word,food_drink,parówka/kiełbaska,sausage
item_117,word,food_drink,picie,drink (beverage)
item_118,word,food_drink,pierogi,dumpling
item_119,word,food_drink,placek,pie
item_120,word,food_drink,pomarańcza,orange (food)
item_121,word,food_drink,pomidor,tomato
item_122,word,food_drink,rodzynki,raisin
item_123,word,food_drink,rosół,broth
item_124,word,food_drink,ryba_food_drink,fish (food)
item_125,word,food_drink,ryż,rice
item_126,word,food_drink,ser,cheese
item_127,word,food_drink,sok,juice
item_128,word,food_drink,sos,sauce
item_129,word,food_drink,sól,salt
item_130,word,food_drink,szynka,ham
item_131,word,food_drink,truskawki,strawberry
item_132,word,food_drink,witaminy,vitamin
item_133,word,food_drink,woda_food_drink,water (beverage)
item_134,word,food_drink,ziemniaki/kartofle,potato
item_135,word,food_drink,zupa,soup
item_136,word,toys,bajka,story
item_137,word,toys,balonik,balloon
item_138,word,toys,grabki,rake (object)
item_139,word,toys,gumka,rubber
item_140,word,toys,kartka/papier,paper
item_141,word,toys,klocki,block
item_142,word,toys,kredki,crayon
item_143,word,toys,książka,book
item_144,word,toys,lalka,doll
item_145,word,toys,łopatka,shovel
item_146,word,toys,obrazek,picture
item_147,word,toys,ołówek,pencil
item_148,word,toys,piłka,ball
item_149,word,toys,pisak/długopis,pen
item_150,word,toys,prezent,present
item_151,word,toys,smoczek,pacifier
item_152,word,toys,wiaderko,bucket
item_153,word,toys,zabawka,toy (object)
item_154,word,clothing,bluzka,t-shirt
item_155,word,clothing,buty,shoe
item_156,word,clothing,chustka,scarf
item_157,word,clothing,czapka,cap
item_158,word,clothing,guzik,button
item_159,word,clothing,kalosze/gumowce,boots
item_160,word,clothing,kapelusz,hat
item_161,word,clothing,kieszeń,pocket
item_162,word,clothing,koszula,shirt
item_163,word,clothing,kurtka,jacket
item_164,word,clothing,majtki,underpants
item_165,word,clothing,pantofle/kapcie,slipper
item_166,word,clothing,pasek,belt
item_167,word,clothing,pieluszka/pampers,diaper
item_168,word,clothing,piżama,pajamas
item_169,word,clothing,rajstopy/rajtuzy,tights
item_170,word,clothing,rękawiczki,glove
item_171,word,clothing,skarpetki,sock
item_172,word,clothing,spodnie,pants
item_173,word,clothing,sukienka,dress (object)
item_174,word,clothing,sweter,sweater
item_175,word,clothing,szalik,scarf
item_176,word,clothing,śliniaczek,bib
item_177,word,clothing,ubranie,clothes
item_178,word,body_parts,broda,chin
item_179,word,body_parts,brzuch,tummy
item_180,word,body_parts,buzia,mouth
item_181,word,body_parts,czoło,forehead
item_182,word,body_parts,gardło,throat
item_183,word,body_parts,głowa,head
item_184,word,body_parts,język,tongue
item_185,word,body_parts,kolano,knee
item_186,word,body_parts,krew,blood
item_187,word,body_parts,łokieć,elbow
item_188,word,body_parts,noga,leg
item_189,word,body_parts,nos,nose
item_190,word,body_parts,oko,eye
item_191,word,body_parts,palec,finger
item_192,word,body_parts,paznokcie/pazurki,nail (body part)
item_193,word,body_parts,pępek,belly button
item_194,word,body_parts,plecy,back
item_195,word,body_parts,policzek,cheek
item_196,word,body_parts,pupa,butt
item_197,word,body_parts,ręka,hand
item_198,word,body_parts,serce,heart
item_199,word,body_parts,skóra,skin
item_200,word,body_parts,szyja,neck
item_201,word,body_parts,ucho,ear
item_202,word,body_parts,włosy,hair
item_203,word,body_parts,ząb,tooth
item_204,word,furniture_rooms,balkon,balcony
item_205,word,furniture_rooms,dach,roof
item_206,word,furniture_rooms,drzwi,door
item_207,word,furniture_rooms,dywan,carpet
item_208,word,furniture_rooms,firanka/zasłona,curtain
item_209,word,furniture_rooms,fotel,armchair
item_210,word,furniture_rooms,korytarz/przedpokój,corridor
item_211,word,furniture_rooms,kran,faucet
item_212,word,furniture_rooms,krzesło,chair
item_213,word,furniture_rooms,kuchnia,kitchen
item_214,word,furniture_rooms,lodówka,fridge
item_215,word,furniture_rooms,łazienka,bathroom
item_216,word,furniture_rooms,łóżko,bed
item_217,word,furniture_rooms,odkurzacz,vacuum
item_218,word,furniture_rooms,okno,window
item_219,word,furniture_rooms,podłoga,floor
item_220,word,furniture_rooms,pokój,room
item_221,word,furniture_rooms,półka/regał,shelf
item_222,word,furniture_rooms,pralka,washing machine
item_223,word,furniture_rooms,prysznic,shower
item_224,word,furniture_rooms,schody,stairs
item_225,word,furniture_rooms,stołek,stool
item_226,word,furniture_rooms,stół,table
item_227,word,furniture_rooms,sufit,ceiling
item_228,word,furniture_rooms,szafa,wardrobe
item_229,word,furniture_rooms,szuflada,drawer
item_230,word,furniture_rooms,ściana,wall
item_231,word,furniture_rooms,telewizor,tv
item_232,word,furniture_rooms,ubikacja/ustęp,toilet
item_233,word,furniture_rooms,wanna,bathtub
item_234,word,furniture_rooms,wózek,stroller
item_235,word,household,aparat/kamera,camera
item_236,word,household,butelka,bottle
item_237,word,household,czajnik,kettle
item_238,word,household,deska,board
item_239,word,household,garnek,pot
item_240,word,household,gazeta,newspaper
item_241,word,household,grzebień,comb (object)
item_242,word,household,igła,needle
item_243,word,household,klucz,key
item_244,word,household,koc/kołdra,blanket
item_245,word,household,koszyk,basket
item_246,word,household,kubek,cup
item_247,word,household,lampa,lamp
item_248,word,household,lekarstwa/tabletki,medicine
item_249,word,household,lustro,mirror
item_250,word,household,łyżka,spoon
item_251,word,household,miotła,broom
item_252,word,household,miska,bowl
item_253,word,household,młotek,hammer
item_254,word,household,mydło,soap
item_255,word,household,nici,sewing threads
item_256,word,household,nocnik,potty
item_257,word,household,nożyczki,scissors
item_258,word,household,nóż,knife
item_259,word,household,obraz,picture
item_260,word,household,okulary,glasses
item_261,word,household,pieniądze,money
item_262,word,household,poduszka,pillow
item_263,word,household,pudełko,box
item_264,word,household,radio,radio
item_265,word,household,ręcznik,towel
item_266,word,household,słoik,jar
item_267,word,household,syrop,syrup
item_268,word,household,szczoteczka do zębów,toothbrush
item_269,word,household,szczotka,brush
item_270,word,household,szklanka,glass
